0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0.01	0.039989	0	0	0	0	0	0	0	0
0.040989	0.103832	0.01	0.024995	0.039989	0	0	0	0	0
0.093977	0.189413	0.041989	0.074923	0.107831	0.01	0.024995	0.039989	0.013749	0.036241
0.168716	0.295297	0.065684	0.124296	0.182699	0.042989	0.077422	0.11183	0.051597	0.103228
0.264276	0.418948	0.080658	0.167407	0.253361	0.069983	0.132039	0.193882	0.085497	0.178421
0.378702	0.556031	0.109381	0.227359	0.343273	0.087657	0.180611	0.272749	0.110895	0.249715
0.508496	0.699821	0.16296	0.31177	0.456224	0.118147	0.24542	0.370548	0.149965	0.339266
0.648045	0.840721	0.216808	0.394136	0.56366	0.174775	0.336312	0.493279	0.215159	0.454037
0.789092	0.96603	0.25493	0.45413	0.641544	0.234285	0.427768	0.612988	0.282656	0.566683
0.92038	1.060161	0.294207	0.504158	0.699158	0.278359	0.496907	0.702842	0.332996	0.651358
1.027654	1.105542	0.349926	0.554119	0.742444	0.322043	0.553848	0.769442	0.379994	0.715544
1.094224	1.084402	0.401001	0.578326	0.741841	0.382131	0.609504	0.819388	0.438974	0.766917
1.102326	0.981573	0.419878	0.546194	0.662769	0.439214	0.639277	0.82378	0.48923	0.777654
1.035444	0.788232	0.412786	0.464008	0.508604	0.463799	0.610121	0.745147	0.50038	0.71139
0.881618	0.506203	0.399089	0.354894	0.302132	0.459166	0.52502	0.583119	0.475629	0.568594
0.637517	0.152038	0.367457	0.215349	0.044323	0.445005	0.407396	0.360444	0.435603	0.372182
0.312699	0	0.290343	0.028471	0	0.411957	0.256089	0.080368	0.37299	0.124298
0	0	0.173505	0	0	0.331539	0.054079	0.008037	0.262174	0.019547
0	0	0	0	0	0.206658	0.005408	0.000804	0.156346	0.001955
0	0	0	0	0	0.020666	0.000541	0.00008	0.015635	0.000195
0	0	0	0	0	0.002067	0.000054	0.000008	0.001563	0.00002
0	0	0	0	0	0.000207	0.000005	0.000001	0.000156	0.000002
0	0	0	0	0	0.000021	0.000001	0	0.000016	0
0	0.15758	0	0	0	0.000002	0	0	0.000002	0
0	0.672745	0	0.073788	0.157573	0	0	0	0	0
0.44969	1.018386	0	0.326811	0.688502	0	0.073788	0.157573	0.018447	0.136627
0.890102	1.071728	0.334009	0.686943	1.050342	0	0.33419	0.704259	0.083547	0.611742
1.088912	0.784981	0.404279	0.699363	1.009668	0.334009	0.720362	1.120768	0.430597	1.020666
0.958255	0.222771	0.208775	0.283205	0.358763	0.43768	0.771399	1.121744	0.52111	1.034158
0.507944	0	0.032561	0	0	0.252543	0.360345	0.470937	0.279494	0.443289
0	0	0.095559	0	0	0.057815	0.036034	0.047094	0.05237	0.044329
0	0	0	0	0	0.101341	0.003603	0.004709	0.076906	0.004433
0	0	0	0	0	0.010134	0.00036	0.000471	0.007691	0.000443
0	0	0	0	0	0.001013	0.000036	0.000047	0.000769	0.000044
0	0.663522	0	0	0	0.000101	0.000004	0.000005	0.000077	0.000004
0.342913	1.061635	0	0.308126	0.663304	0.00001	0	0	0.000008	0
0.935967	0.894416	0.342911	0.728146	1.12796	0.000001	0.308126	0.663304	0.077032	0.574509
